# Species	Genes	Alg.-Conn.	AnophelesalbimanusSTECLA.faa	AnophelesatroparvusEBRO.faa	AnophelesfunestusFUMOZ.faa	AnophelesgambiaePEST.faa
4	23	0.146	AnophelesalbimanusSTECLA|AALB015470,AnophelesalbimanusSTECLA|AALB015449,AnophelesalbimanusSTECLA|AALB015457,AnophelesalbimanusSTECLA|AALB015483,AnophelesalbimanusSTECLA|AALB015469,AnophelesalbimanusSTECLA|AALB015481,AnophelesalbimanusSTECLA|AALB015471	AnophelesatroparvusEBRO|AATE009017,AnophelesatroparvusEBRO|AATE005319,AnophelesatroparvusEBRO|AATE021701,AnophelesatroparvusEBRO|AATE010151,AnophelesatroparvusEBRO|AATE004853	AnophelesfunestusFUMOZ|AFUN020127,AnophelesfunestusFUMOZ|AFUN002505,AnophelesfunestusFUMOZ|AFUN009616,AnophelesfunestusFUMOZ|AFUN015899,AnophelesfunestusFUMOZ|AFUN006819,AnophelesfunestusFUMOZ|AFUN002506	AnophelesgambiaePEST|AGAP011516,AnophelesgambiaePEST|AGAP005095,AnophelesgambiaePEST|AGAP000651,AnophelesgambiaePEST|AGAP011515,AnophelesgambiaePEST|AGAP001676
4	11	0.364	AnophelesalbimanusSTECLA|AALB010554,AnophelesalbimanusSTECLA|AALB017861	AnophelesatroparvusEBRO|AATE003900,AnophelesatroparvusEBRO|AATE009611	AnophelesfunestusFUMOZ|AFUN019733,AnophelesfunestusFUMOZ|AFUN019057,AnophelesfunestusFUMOZ|AFUN010533,AnophelesfunestusFUMOZ|AFUN019762	AnophelesgambiaePEST|AGAP001218,AnophelesgambiaePEST|AGAP001219,AnophelesgambiaePEST|AGAP010971
4	11	0.182	AnophelesalbimanusSTECLA|AALB004561	AnophelesatroparvusEBRO|AATE018569	AnophelesfunestusFUMOZ|AFUN010049,AnophelesfunestusFUMOZ|AFUN019096,AnophelesfunestusFUMOZ|AFUN020038,AnophelesfunestusFUMOZ|AFUN020197	AnophelesgambiaePEST|AGAP005024,AnophelesgambiaePEST|AGAP005025,AnophelesgambiaePEST|AGAP003910,AnophelesgambiaePEST|AGAP012196,AnophelesgambiaePEST|AGAP012197
4	10	0.144	AnophelesalbimanusSTECLA|AALB016156	AnophelesatroparvusEBRO|AATE010440,AnophelesatroparvusEBRO|AATE007961,AnophelesatroparvusEBRO|AATE015368	AnophelesfunestusFUMOZ|AFUN012013,AnophelesfunestusFUMOZ|AFUN018942	AnophelesgambiaePEST|AGAP005670,AnophelesgambiaePEST|AGAP007251,AnophelesgambiaePEST|AGAP005671,AnophelesgambiaePEST|AGAP005669
4	10	0.1	AnophelesalbimanusSTECLA|AALB001312	AnophelesatroparvusEBRO|AATE013252	AnophelesfunestusFUMOZ|AFUN019639,AnophelesfunestusFUMOZ|AFUN016592,AnophelesfunestusFUMOZ|AFUN019616,AnophelesfunestusFUMOZ|AFUN016450,AnophelesfunestusFUMOZ|AFUN016590,AnophelesfunestusFUMOZ|AFUN016591	AnophelesgambiaePEST|AGAP008294,AnophelesgambiaePEST|AGAP008296
4	9	0.229	AnophelesalbimanusSTECLA|AALB016544,AnophelesalbimanusSTECLA|AALB004200	AnophelesatroparvusEBRO|AATE003790	AnophelesfunestusFUMOZ|AFUN018665,AnophelesfunestusFUMOZ|AFUN018496,AnophelesfunestusFUMOZ|AFUN018661	AnophelesgambiaePEST|AGAP006419,AnophelesgambiaePEST|AGAP006443,AnophelesgambiaePEST|AGAP006418
4	9	0.16	AnophelesalbimanusSTECLA|AALB000943	AnophelesatroparvusEBRO|AATE019557,AnophelesatroparvusEBRO|AATE021888	AnophelesfunestusFUMOZ|AFUN019227,AnophelesfunestusFUMOZ|AFUN016538,AnophelesfunestusFUMOZ|AFUN009688,AnophelesfunestusFUMOZ|AFUN020209	AnophelesgambiaePEST|AGAP003250,AnophelesgambiaePEST|AGAP003249
4	9	0.111	AnophelesalbimanusSTECLA|AALB005326	AnophelesatroparvusEBRO|AATE019505,AnophelesatroparvusEBRO|AATE016085	AnophelesfunestusFUMOZ|AFUN019143,AnophelesfunestusFUMOZ|AFUN022111,AnophelesfunestusFUMOZ|AFUN018916,AnophelesfunestusFUMOZ|AFUN018780	AnophelesgambiaePEST|AGAP006856,AnophelesgambiaePEST|AGAP006861
4	9	0.111	AnophelesalbimanusSTECLA|AALB010728	AnophelesatroparvusEBRO|AATE001028,AnophelesatroparvusEBRO|AATE006366,AnophelesatroparvusEBRO|AATE001106	AnophelesfunestusFUMOZ|AFUN015907,AnophelesfunestusFUMOZ|AFUN007113	AnophelesgambiaePEST|AGAP011332,AnophelesgambiaePEST|AGAP005659,AnophelesgambiaePEST|AGAP010684
4	8	0.5	AnophelesalbimanusSTECLA|AALB004603,AnophelesalbimanusSTECLA|AALB004601	AnophelesatroparvusEBRO|AATE021755,AnophelesatroparvusEBRO|AATE012310	AnophelesfunestusFUMOZ|AFUN009015,AnophelesfunestusFUMOZ|AFUN009014	AnophelesgambiaePEST|AGAP005602,AnophelesgambiaePEST|AGAP005603
