gene_id	family
AnophelesatroparvusEBRO|AATE014874	OG6100011
AnophelesfunestusFUMOZ|AFUN010165	OG6100011
AnophelesalbimanusSTECLA|AALB006878	OG6100014
AnophelesalbimanusSTECLA|AALB015527	OG6100014
AnophelesalbimanusSTECLA|AALB015525	OG6100014
AnophelesalbimanusSTECLA|AALB015526	OG6100014
AnophelesalbimanusSTECLA|AALB015507	OG6100014
AnophelesalbimanusSTECLA|AALB015506	OG6100014
AnophelesatroparvusEBRO|AATE011158	OG6100014
AnophelesatroparvusEBRO|AATE007038	OG6100014
AnophelesatroparvusEBRO|AATE006632	OG6100014
AnophelesatroparvusEBRO|AATE002634	OG6100014
AnophelesatroparvusEBRO|AATE020595	OG6100014
AnophelesatroparvusEBRO|AATE001120	OG6100014
AnophelesfunestusFUMOZ|AFUN015777	OG6100014
AnophelesfunestusFUMOZ|AFUN015778	OG6100014
AnophelesfunestusFUMOZ|AFUN002128	OG6100014
AnophelesgambiaePEST|AGAP000192	OG6100014
AnophelesgambiaePEST|AGAP000193	OG6100014
AnophelesgambiaePEST|AGAP000194	OG6100014
AnophelesfunestusFUMOZ|AFUN011925	OG6100040
AnophelesfunestusFUMOZ|AFUN011989	OG6100040
AnophelesatroparvusEBRO|AATE019036	OG6100060
AnophelesfunestusFUMOZ|AFUN008073	OG6100060
AnophelesgambiaePEST|AGAP001027	OG6100060
AnophelesatroparvusEBRO|AATE007512	OG6100069
AnophelesfunestusFUMOZ|AFUN019813	OG6100069
AnophelesfunestusFUMOZ|AFUN005678	OG6100069
AnophelesalbimanusSTECLA|AALB006905	OG6100076
AnophelesalbimanusSTECLA|AALB007665	OG6100076
AnophelesatroparvusEBRO|AATE004675	OG6100076
AnophelesfunestusFUMOZ|AFUN003538	OG6100076
AnophelesgambiaePEST|AGAP000506	OG6100076
AnophelesgambiaePEST|AGAP000553	OG6100076
AnophelesalbimanusSTECLA|AALB007715	OG6100080
AnophelesatroparvusEBRO|AATE005176	OG6100080
AnophelesfunestusFUMOZ|AFUN005694	OG6100080
AnophelesgambiaePEST|AGAP000466	OG6100080
AnophelesatroparvusEBRO|AATE014692	OG6100094
AnophelesalbimanusSTECLA|AALB006669	OG6100107
AnophelesatroparvusEBRO|AATE011793	OG6100107
AnophelesfunestusFUMOZ|AFUN000570	OG6100107
AnophelesalbimanusSTECLA|AALB006519	OG6100111
AnophelesatroparvusEBRO|AATE003063	OG6100111
AnophelesfunestusFUMOZ|AFUN005725	OG6100111
AnophelesgambiaePEST|AGAP000396	OG6100111
AnophelesalbimanusSTECLA|AALB015483	OG6100127
AnophelesatroparvusEBRO|AATE010151	OG6100127
AnophelesfunestusFUMOZ|AFUN006819	OG6100127
AnophelesgambiaePEST|AGAP000651	OG6100127
AnophelesalbimanusSTECLA|AALB015556	OG6100130
AnophelesalbimanusSTECLA|AALB015557	OG6100130
AnophelesatroparvusEBRO|AATE007485	OG6100130
AnophelesatroparvusEBRO|AATE007312	OG6100130
AnophelesfunestusFUMOZ|AFUN007291	OG6100130
AnophelesfunestusFUMOZ|AFUN005589	OG6100130
AnophelesgambiaePEST|AGAP000761	OG6100130
AnophelesgambiaePEST|AGAP000888	OG6100130
AnophelesalbimanusSTECLA|AALB007719	OG6100138
AnophelesfunestusFUMOZ|AFUN010347	OG6100138
AnophelesalbimanusSTECLA|AALB006592	OG6100142
AnophelesatroparvusEBRO|AATE010993	OG6100142
AnophelesfunestusFUMOZ|AFUN021858	OG6100142
AnophelesgambiaePEST|AGAP001026	OG6100142
AnophelesalbimanusSTECLA|AALB003288	OG6100154
AnophelesatroparvusEBRO|AATE010719	OG6100154
AnophelesfunestusFUMOZ|AFUN002158	OG6100154
AnophelesgambiaePEST|AGAP000162	OG6100154
AnophelesfunestusFUMOZ|AFUN007000	OG6100159
AnophelesfunestusFUMOZ|AFUN019801	OG6100159
AnophelesfunestusFUMOZ|AFUN011990	OG6100159
AnophelesfunestusFUMOZ|AFUN005680	OG6100159
AnophelesfunestusFUMOZ|AFUN006855	OG6100159
AnophelesgambiaePEST|AGAP029438	OG6100159
AnophelesalbimanusSTECLA|AALB006851	OG6100167
AnophelesalbimanusSTECLA|AALB006850	OG6100167
AnophelesatroparvusEBRO|AATE006999	OG6100167
AnophelesatroparvusEBRO|AATE008487	OG6100167
AnophelesatroparvusEBRO|AATE013357	OG6100167
AnophelesatroparvusEBRO|AATE008174	OG6100167
AnophelesatroparvusEBRO|AATE019981	OG6100167
AnophelesfunestusFUMOZ|AFUN020236	OG6100167
AnophelesfunestusFUMOZ|AFUN020070	OG6100167
AnophelesfunestusFUMOZ|AFUN006222	OG6100167
AnophelesgambiaePEST|AGAP000798	OG6100167
AnophelesgambiaePEST|AGAP000801	OG6100167
AnophelesgambiaePEST|AGAP000803	OG6100167
AnophelesalbimanusSTECLA|AALB006375	OG6100170
AnophelesfunestusFUMOZ|AFUN020940	OG6100170
AnophelesgambiaePEST|AGAP000365	OG6100170
AnophelesalbimanusSTECLA|AALB015768	OG6100189
AnophelesatroparvusEBRO|AATE002631	OG6100189
AnophelesfunestusFUMOZ|AFUN020655	OG6100189
AnophelesgambiaePEST|AGAP000489	OG6100189
AnophelesalbimanusSTECLA|AALB006765	OG6100193
AnophelesatroparvusEBRO|AATE005308	OG6100193
AnophelesfunestusFUMOZ|AFUN021876	OG6100193
AnophelesgambiaePEST|AGAP000481	OG6100193
AnophelesalbimanusSTECLA|AALB006288	OG6100205
AnophelesatroparvusEBRO|AATE014702	OG6100205
AnophelesfunestusFUMOZ|AFUN002137	OG6100205
AnophelesgambiaePEST|AGAP000184	OG6100205
