query_id	query_start	query_end	hit_accession	hit_id	hit_description	hit_start	hit_end	conditional_evalue	bitscore	family
AnophelesatroparvusEBRO|AATE014874	25	110	PF14529.10	Exo_endo_phos_2	Endonuclease-reverse transcriptase	19	100	2.2e-08	21.2	OG6100011
AnophelesfunestusFUMOZ|AFUN010165	57	133	PF00078.31	RVT_1	Reverse transcriptase (RNA-dependent DNA polymerase)	33	106	2.4e-07	16.8	OG6100011
AnophelesalbimanusSTECLA|AALB006878	53	537	PF00067.26	p450	Cytochrome P450	1	457	2.6e-119	385.0	OG6100014
AnophelesalbimanusSTECLA|AALB015506	34	500	PF00067.26	p450	Cytochrome P450	1	457	3.3e-120	387.9	OG6100014
AnophelesalbimanusSTECLA|AALB015507	33	499	PF00067.26	p450	Cytochrome P450	1	457	2.8e-119	384.9	OG6100014
AnophelesalbimanusSTECLA|AALB015525	72	540	PF00067.26	p450	Cytochrome P450	1	456	2.7e-107	345.4	OG6100014
AnophelesalbimanusSTECLA|AALB015526	63	541	PF00067.26	p450	Cytochrome P450	1	457	1.2e-109	354.2	OG6100014
AnophelesalbimanusSTECLA|AALB015527	59	530	PF00067.26	p450	Cytochrome P450	1	452	3.7e-113	364.7	OG6100014
AnophelesatroparvusEBRO|AATE001120	33	500	PF00067.26	p450	Cytochrome P450	1	458	3.2e-119	384.7	OG6100014
AnophelesatroparvusEBRO|AATE002634	65	525	PF00067.26	p450	Cytochrome P450	1	456	2.7e-108	348.6	OG6100014
AnophelesatroparvusEBRO|AATE006632	55	523	PF00067.26	p450	Cytochrome P450	1	457	8.6e-106	340.4	OG6100014
AnophelesatroparvusEBRO|AATE007038	57	518	PF00067.26	p450	Cytochrome P450	1	452	3.9e-115	371.2	OG6100014
AnophelesatroparvusEBRO|AATE011158	53	537	PF00067.26	p450	Cytochrome P450	1	457	8.8e-122	393.1	OG6100014
AnophelesatroparvusEBRO|AATE020595	32	495	PF00067.26	p450	Cytochrome P450	1	457	2.6000000000000002e-117	378.4	OG6100014
AnophelesfunestusFUMOZ|AFUN002128	53	537	PF00067.26	p450	Cytochrome P450	1	457	1.6000000000000002e-123	398.9	OG6100014
AnophelesfunestusFUMOZ|AFUN015777	54	531	PF00067.26	p450	Cytochrome P450	1	457	3.3e-110	356.5	OG6100014
AnophelesfunestusFUMOZ|AFUN015778	61	539	PF00067.26	p450	Cytochrome P450	1	456	1.1000000000000002e-111	360.9	OG6100014
AnophelesgambiaePEST|AGAP000192	56	529	PF00067.26	p450	Cytochrome P450	1	457	2.9e-103	333.1	OG6100014
AnophelesgambiaePEST|AGAP000193	64	535	PF00067.26	p450	Cytochrome P450	1	454	7.3e-110	353.8	OG6100014
AnophelesgambiaePEST|AGAP000194	53	544	PF00067.26	p450	Cytochrome P450	1	457	1.1e-122	396.0	OG6100014
AnophelesfunestusFUMOZ|AFUN011925	54	202	PF13359.10	DDE_Tnp_4	DDE superfamily endonuclease	1	151	3.3999999999999997e-35	108.2	OG6100040
AnophelesfunestusFUMOZ|AFUN011989	54	204	PF13359.10	DDE_Tnp_4	DDE superfamily endonuclease	0	158	9.4e-22	65.4	OG6100040
AnophelesatroparvusEBRO|AATE019036	88	488	PF00083.28	Sugar_tr	Sugar (and other) transporter	43	449	1.8e-98	318.3	OG6100060
AnophelesfunestusFUMOZ|AFUN008073	165	575	PF00083.28	Sugar_tr	Sugar (and other) transporter	42	451	2.5e-98	317.9	OG6100060
AnophelesgambiaePEST|AGAP001027	69	471	PF00083.28	Sugar_tr	Sugar (and other) transporter	43	451	2.9e-97	314.7	OG6100060
AnophelesatroparvusEBRO|AATE007512	48	176	PF14223.10	Retrotran_gag_2	gag-polypeptide of LTR copia-type	3	131	1.1e-16	48.6	OG6100069
AnophelesfunestusFUMOZ|AFUN019813	47	182	PF14223.10	Retrotran_gag_2	gag-polypeptide of LTR copia-type	0	137	4.8e-31	96.4	OG6100069
AnophelesfunestusFUMOZ|AFUN019813	455	552	PF00665.30	rve	Integrase core domain	5	102	1e-17	53.5	OG6100069
AnophelesatroparvusEBRO|AATE007512	10	33	PF13961.10	DUF4219	Domain of unknown function (DUF4219)	0	22	3.7e-06	14.5	OG6100069
AnophelesfunestusFUMOZ|AFUN019813	10	36	PF13961.10	DUF4219	Domain of unknown function (DUF4219)	0	26	2.9e-07	19.4	OG6100069
AnophelesfunestusFUMOZ|AFUN019813	393	438	PF13976.10	gag_pre-integrs	GAG-pre-integrase domain	24	67	5.7e-09	24.9	OG6100069
AnophelesfunestusFUMOZ|AFUN019813	211	228	PF00098.27	zf-CCHC	Zinc knuckle	0	17	1.5e-08	23.8	OG6100069
AnophelesfunestusFUMOZ|AFUN005678	20	72	PF11899.12	DUF3419	Protein of unknown function (DUF3419)	125	176	5.2e-07	15.1	OG6100069
AnophelesalbimanusSTECLA|AALB006905	432	644	PF01061.28	ABC2_membrane	ABC-2 type transporter	0	211	2.1e-49	158.2	OG6100076
AnophelesalbimanusSTECLA|AALB007665	406	617	PF01061.28	ABC2_membrane	ABC-2 type transporter	2	210	3e-41	131.2	OG6100076
AnophelesatroparvusEBRO|AATE004675	423	635	PF01061.28	ABC2_membrane	ABC-2 type transporter	0	211	9.6e-50	159.2	OG6100076
AnophelesfunestusFUMOZ|AFUN003538	418	630	PF01061.28	ABC2_membrane	ABC-2 type transporter	0	211	1.8e-50	161.6	OG6100076
AnophelesgambiaePEST|AGAP000506	417	625	PF01061.28	ABC2_membrane	ABC-2 type transporter	4	210	5.8e-41	129.4	OG6100076
