query_id	query_start	query_end	hit_accession	hit_id	hit_description	hit_start	hit_end	conditional_evalue	bitscore	family
AnophelesatroparvusEBRO|AATE014874	25	110	PF14529.10	Exo_endo_phos_2	Endonuclease-reverse transcriptase	19	100	2.2e-08	21.2	OG6100011
AnophelesatroparvusEBRO|AATE014874	23	105	PF03372.27	Exo_endo_phos	Endonuclease/Exonuclease/phosphatase family	131	204	2.3e-06	14.6	OG6100011
AnophelesfunestusFUMOZ|AFUN010165	57	133	PF00078.31	RVT_1	Reverse transcriptase (RNA-dependent DNA polymerase)	33	106	2.4e-07	16.8	OG6100011
AnophelesalbimanusSTECLA|AALB006878	53	537	PF00067.26	p450	Cytochrome P450	1	457	2.6e-119	385.0	OG6100014
AnophelesalbimanusSTECLA|AALB015527	59	530	PF00067.26	p450	Cytochrome P450	1	452	3.7e-113	364.7	OG6100014
AnophelesalbimanusSTECLA|AALB015525	72	540	PF00067.26	p450	Cytochrome P450	1	456	2.7e-107	345.4	OG6100014
AnophelesalbimanusSTECLA|AALB015526	63	541	PF00067.26	p450	Cytochrome P450	1	457	1.2e-109	354.2	OG6100014
AnophelesalbimanusSTECLA|AALB015526	414	448	PF21094.1	Nup188_SH3-like	Nup188 SH3-like domain	10	41	4.8e-06	13.6	OG6100014
AnophelesalbimanusSTECLA|AALB015507	33	499	PF00067.26	p450	Cytochrome P450	1	457	2.8e-119	384.9	OG6100014
AnophelesalbimanusSTECLA|AALB015506	34	500	PF00067.26	p450	Cytochrome P450	1	457	3.3e-120	387.9	OG6100014
AnophelesatroparvusEBRO|AATE011158	53	537	PF00067.26	p450	Cytochrome P450	1	457	8.8e-122	393.1	OG6100014
AnophelesatroparvusEBRO|AATE007038	57	518	PF00067.26	p450	Cytochrome P450	1	452	3.9e-115	371.2	OG6100014
AnophelesatroparvusEBRO|AATE006632	55	523	PF00067.26	p450	Cytochrome P450	1	457	8.6e-106	340.4	OG6100014
AnophelesatroparvusEBRO|AATE002634	65	525	PF00067.26	p450	Cytochrome P450	1	456	2.7e-108	348.6	OG6100014
AnophelesatroparvusEBRO|AATE020595	32	495	PF00067.26	p450	Cytochrome P450	1	457	2.6e-117	378.4	OG6100014
AnophelesatroparvusEBRO|AATE001120	33	500	PF00067.26	p450	Cytochrome P450	1	458	3.2e-119	384.7	OG6100014
AnophelesfunestusFUMOZ|AFUN015777	54	531	PF00067.26	p450	Cytochrome P450	1	457	3.3e-110	356.5	OG6100014
AnophelesfunestusFUMOZ|AFUN015777	404	438	PF21094.1	Nup188_SH3-like	Nup188 SH3-like domain	10	41	4.1e-05	11.2	OG6100014
AnophelesfunestusFUMOZ|AFUN015777	234	290	PF14687.10	DUF4460	Domain of unknown function (DUF4460)	8	66	3.7e-05	11.5	OG6100014
AnophelesfunestusFUMOZ|AFUN015778	61	539	PF00067.26	p450	Cytochrome P450	1	456	1.1e-111	360.9	OG6100014
AnophelesfunestusFUMOZ|AFUN015778	199	276	PF02351.20	GDNF	GDNF/GAS1 domain	0	82	2.6e-05	12.2	OG6100014
AnophelesfunestusFUMOZ|AFUN002128	53	537	PF00067.26	p450	Cytochrome P450	1	457	1.6e-123	398.9	OG6100014
AnophelesgambiaePEST|AGAP000192	56	529	PF00067.26	p450	Cytochrome P450	1	457	2.9e-103	333.1	OG6100014
AnophelesgambiaePEST|AGAP000192	402	436	PF21094.1	Nup188_SH3-like	Nup188 SH3-like domain	10	41	3.1e-05	11.0	OG6100014
AnophelesgambiaePEST|AGAP000193	64	535	PF00067.26	p450	Cytochrome P450	1	454	7.3e-110	353.8	OG6100014
AnophelesgambiaePEST|AGAP000194	53	544	PF00067.26	p450	Cytochrome P450	1	457	1.1e-122	396.0	OG6100014
AnophelesfunestusFUMOZ|AFUN011925	54	202	PF13359.10	DDE_Tnp_4	DDE superfamily endonuclease	1	151	3.4e-35	108.2	OG6100040
AnophelesfunestusFUMOZ|AFUN011925	49	182	PF01609.25	DDE_Tnp_1	Transposase DDE domain	4	175	3.1e-09	23.9	OG6100040
AnophelesfunestusFUMOZ|AFUN011989	54	204	PF13359.10	DDE_Tnp_4	DDE superfamily endonuclease	0	158	9.4e-22	65.4	OG6100040
AnophelesfunestusFUMOZ|AFUN011989	92	209	PF04827.18	Plant_tran	Plant transposon protein	85	200	9.7e-12	33.0	OG6100040
AnophelesfunestusFUMOZ|AFUN011989	158	181	PF01609.25	DDE_Tnp_1	Transposase DDE domain	156	179	3.1e-05	11.9	OG6100040
AnophelesfunestusFUMOZ|AFUN011989	157	185	PF13586.10	DDE_Tnp_1_2	Transposase DDE domain	44	72	5.1e-05	12.0	OG6100040
AnophelesatroparvusEBRO|AATE019036	88	488	PF00083.28	Sugar_tr	Sugar (and other) transporter	43	449	1.8e-98	318.3	OG6100060
AnophelesatroparvusEBRO|AATE019036	82	440	PF07690.20	MFS_1	Major Facilitator Superfamily	23	345	3.7e-30	93.0	OG6100060
AnophelesatroparvusEBRO|AATE019036	123	404	PF01770.22	Folate_carrier	Reduced folate carrier	73	356	2.5e-07	17.8	OG6100060
AnophelesatroparvusEBRO|AATE019036	389	406	PF00662.24	Proton_antipo_N	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	23	40	0.002	6.3	OG6100060
AnophelesfunestusFUMOZ|AFUN008073	165	575	PF00083.28	Sugar_tr	Sugar (and other) transporter	42	451	2.5e-98	317.9	OG6100060
AnophelesfunestusFUMOZ|AFUN008073	165	525	PF07690.20	MFS_1	Major Facilitator Superfamily	23	345	8.8e-29	88.5	OG6100060
AnophelesfunestusFUMOZ|AFUN008073	208	488	PF01770.22	Folate_carrier	Reduced folate carrier	73	355	2.6e-08	21.0	OG6100060
AnophelesfunestusFUMOZ|AFUN008073	186	221	PF10348.13	DUF2427	Domain of unknown function (DUF2427)	25	60	0.00012	10.1	OG6100060
AnophelesgambiaePEST|AGAP001027	69	471	PF00083.28	Sugar_tr	Sugar (and other) transporter	43	451	2.9e-97	314.7	OG6100060
AnophelesgambiaePEST|AGAP001027	57	421	PF07690.20	MFS_1	Major Facilitator Superfamily	19	345	5.9e-30	92.6	OG6100060
