# Species	Genes	Alg.-Conn.	AnophelesalbimanusSTECLA.faa	AnophelesatroparvusEBRO.faa	AnophelesfunestusFUMOZ.faa	AnophelesgambiaePEST.faa
4	6	0.111	AnophelesalbimanusSTECLA|AALB006546	AnophelesatroparvusEBRO|AATE013205	AnophelesfunestusFUMOZ|AFUN000197,AnophelesfunestusFUMOZ|AFUN007337	AnophelesgambiaePEST|AGAP000032,AnophelesgambiaePEST|AGAP000307
4	6	0.111	AnophelesalbimanusSTECLA|AALB007644	AnophelesatroparvusEBRO|AATE005521	AnophelesfunestusFUMOZ|AFUN011585,AnophelesfunestusFUMOZ|AFUN011586	AnophelesgambiaePEST|AGAP000596,AnophelesgambiaePEST|AGAP000595
4	5	0.477	AnophelesalbimanusSTECLA|AALB006788	AnophelesatroparvusEBRO|AATE004528	AnophelesfunestusFUMOZ|AFUN020046,AnophelesfunestusFUMOZ|AFUN019804	AnophelesgambiaePEST|AGAP000561
4	5	0.446	AnophelesalbimanusSTECLA|AALB006727	AnophelesatroparvusEBRO|AATE014351	AnophelesfunestusFUMOZ|AFUN007320,AnophelesfunestusFUMOZ|AFUN006991	AnophelesgambiaePEST|AGAP000738
4	5	0.331	AnophelesalbimanusSTECLA|AALB016573,AnophelesalbimanusSTECLA|AALB016574	AnophelesatroparvusEBRO|AATE005408	AnophelesfunestusFUMOZ|AFUN011597	AnophelesgambiaePEST|AGAP000711
4	5	0.2	AnophelesalbimanusSTECLA|AALB006445,AnophelesalbimanusSTECLA|AALB006446	AnophelesatroparvusEBRO|AATE018948	AnophelesfunestusFUMOZ|AFUN021581	AnophelesgambiaePEST|AGAP000540
4	5	0.145	AnophelesalbimanusSTECLA|AALB006472	AnophelesatroparvusEBRO|AATE007866,AnophelesatroparvusEBRO|AATE002651	AnophelesfunestusFUMOZ|AFUN019936	AnophelesgambiaePEST|AGAP000431
4	4	0.332	AnophelesalbimanusSTECLA|AALB003284	AnophelesatroparvusEBRO|AATE006814	AnophelesfunestusFUMOZ|AFUN007550	AnophelesgambiaePEST|AGAP000819
4	4	0.332	AnophelesalbimanusSTECLA|AALB003285	AnophelesatroparvusEBRO|AATE017622	AnophelesfunestusFUMOZ|AFUN007551	AnophelesgambiaePEST|AGAP000820
4	4	0.332	AnophelesalbimanusSTECLA|AALB003287	AnophelesatroparvusEBRO|AATE001431	AnophelesfunestusFUMOZ|AFUN007553	AnophelesgambiaePEST|AGAP000822
4	4	0.332	AnophelesalbimanusSTECLA|AALB003288	AnophelesatroparvusEBRO|AATE010719	AnophelesfunestusFUMOZ|AFUN002158	AnophelesgambiaePEST|AGAP000162
4	4	0.332	AnophelesalbimanusSTECLA|AALB003292	AnophelesatroparvusEBRO|AATE000788	AnophelesfunestusFUMOZ|AFUN021579	AnophelesgambiaePEST|AGAP000499
4	4	0.332	AnophelesalbimanusSTECLA|AALB003296	AnophelesatroparvusEBRO|AATE010692	AnophelesfunestusFUMOZ|AFUN000186	AnophelesgambiaePEST|AGAP000044
4	4	0.332	AnophelesalbimanusSTECLA|AALB003304	AnophelesatroparvusEBRO|AATE021803	AnophelesfunestusFUMOZ|AFUN007571	AnophelesgambiaePEST|AGAP000629
4	4	0.332	AnophelesalbimanusSTECLA|AALB003307	AnophelesatroparvusEBRO|AATE004062	AnophelesfunestusFUMOZ|AFUN007574	AnophelesgambiaePEST|AGAP000633
4	4	0.332	AnophelesalbimanusSTECLA|AALB003308	AnophelesatroparvusEBRO|AATE014487	AnophelesfunestusFUMOZ|AFUN007575	AnophelesgambiaePEST|AGAP000634
4	4	0.332	AnophelesalbimanusSTECLA|AALB003309	AnophelesatroparvusEBRO|AATE020481	AnophelesfunestusFUMOZ|AFUN019821	AnophelesgambiaePEST|AGAP013181
4	4	0.332	AnophelesalbimanusSTECLA|AALB003310	AnophelesatroparvusEBRO|AATE000280	AnophelesfunestusFUMOZ|AFUN021857	AnophelesgambiaePEST|AGAP001025
4	4	0.332	AnophelesalbimanusSTECLA|AALB003311	AnophelesatroparvusEBRO|AATE014004	AnophelesfunestusFUMOZ|AFUN008077	AnophelesgambiaePEST|AGAP001023
4	4	0.332	AnophelesalbimanusSTECLA|AALB003312	AnophelesatroparvusEBRO|AATE002691	AnophelesfunestusFUMOZ|AFUN008082	AnophelesgambiaePEST|AGAP001021
4	4	0.332	AnophelesalbimanusSTECLA|AALB003316	AnophelesatroparvusEBRO|AATE009218	AnophelesfunestusFUMOZ|AFUN005727	AnophelesgambiaePEST|AGAP013009
4	4	0.332	AnophelesalbimanusSTECLA|AALB003317	AnophelesatroparvusEBRO|AATE014374	AnophelesfunestusFUMOZ|AFUN002859	AnophelesgambiaePEST|AGAP000535
4	4	0.332	AnophelesalbimanusSTECLA|AALB003323	AnophelesatroparvusEBRO|AATE002369	AnophelesfunestusFUMOZ|AFUN006062	AnophelesgambiaePEST|AGAP000939
4	4	0.332	AnophelesalbimanusSTECLA|AALB003324	AnophelesatroparvusEBRO|AATE002125	AnophelesfunestusFUMOZ|AFUN006063	AnophelesgambiaePEST|AGAP000940
4	4	0.332	AnophelesalbimanusSTECLA|AALB003325	AnophelesatroparvusEBRO|AATE016220	AnophelesfunestusFUMOZ|AFUN006064	AnophelesgambiaePEST|AGAP000941
4	4	0.332	AnophelesalbimanusSTECLA|AALB003326	AnophelesatroparvusEBRO|AATE006815	AnophelesfunestusFUMOZ|AFUN006065	AnophelesgambiaePEST|AGAP000942
4	4	0.332	AnophelesalbimanusSTECLA|AALB003327	AnophelesatroparvusEBRO|AATE012405	AnophelesfunestusFUMOZ|AFUN006066	AnophelesgambiaePEST|AGAP000943
4	4	0.332	AnophelesalbimanusSTECLA|AALB003328	AnophelesatroparvusEBRO|AATE007173	AnophelesfunestusFUMOZ|AFUN006677	AnophelesgambiaePEST|AGAP000945
4	4	0.332	AnophelesalbimanusSTECLA|AALB003331	AnophelesatroparvusEBRO|AATE002183	AnophelesfunestusFUMOZ|AFUN007357	AnophelesgambiaePEST|AGAP000810
4	4	0.332	AnophelesalbimanusSTECLA|AALB003333	AnophelesatroparvusEBRO|AATE001433	AnophelesfunestusFUMOZ|AFUN006215	AnophelesgambiaePEST|AGAP013022
4	4	0.332	AnophelesalbimanusSTECLA|AALB003698	AnophelesatroparvusEBRO|AATE015772	AnophelesfunestusFUMOZ|AFUN007296	AnophelesgambiaePEST|AGAP000883
4	4	0.332	AnophelesalbimanusSTECLA|AALB003699	AnophelesatroparvusEBRO|AATE013516	AnophelesfunestusFUMOZ|AFUN004691	AnophelesgambiaePEST|AGAP000048
4	4	0.332	AnophelesalbimanusSTECLA|AALB003700	AnophelesatroparvusEBRO|AATE019739	AnophelesfunestusFUMOZ|AFUN002149	AnophelesgambiaePEST|AGAP000170
4	4	0.332	AnophelesalbimanusSTECLA|AALB003702	AnophelesatroparvusEBRO|AATE005771	AnophelesfunestusFUMOZ|AFUN002147	AnophelesgambiaePEST|AGAP029486
4	4	0.332	AnophelesalbimanusSTECLA|AALB003703	AnophelesatroparvusEBRO|AATE017248	AnophelesfunestusFUMOZ|AFUN007301	AnophelesgambiaePEST|AGAP000322
4	4	0.332	AnophelesalbimanusSTECLA|AALB003704	AnophelesatroparvusEBRO|AATE013140	AnophelesfunestusFUMOZ|AFUN007355	AnophelesgambiaePEST|AGAP000290
4	4	0.332	AnophelesalbimanusSTECLA|AALB003707	AnophelesatroparvusEBRO|AATE020389	AnophelesfunestusFUMOZ|AFUN007312	AnophelesgambiaePEST|AGAP000331
4	4	0.332	AnophelesalbimanusSTECLA|AALB006265	AnophelesatroparvusEBRO|AATE018926	AnophelesfunestusFUMOZ|AFUN000235	AnophelesgambiaePEST|AGAP000857
4	4	0.332	AnophelesalbimanusSTECLA|AALB006266	AnophelesatroparvusEBRO|AATE020619	AnophelesfunestusFUMOZ|AFUN000234	AnophelesgambiaePEST|AGAP000856
4	4	0.332	AnophelesalbimanusSTECLA|AALB006268	AnophelesatroparvusEBRO|AATE007378	AnophelesfunestusFUMOZ|AFUN020423	AnophelesgambiaePEST|AGAP000667
4	4	0.332	AnophelesalbimanusSTECLA|AALB006272	AnophelesatroparvusEBRO|AATE016767	AnophelesfunestusFUMOZ|AFUN015860	AnophelesgambiaePEST|AGAP000759
4	4	0.332	AnophelesalbimanusSTECLA|AALB006274	AnophelesatroparvusEBRO|AATE021788	AnophelesfunestusFUMOZ|AFUN020699	AnophelesgambiaePEST|AGAP013154
