OG6101257_39::h	OG6132656_476::t
OG6102019_65::h	OG6132719_482::t
OG6100189_1::t	OG6103999_134::h
OG6100435_7::t	OG6121038_388::h
OG6106561_256::t	OG6163797_561::h
OG6100598_14::h	OG6105334_209::t
OG6107540_282::h	OG6163200_551::h
OG6104093_144::h	OG6129350_466::h
OG6109233_327::h	OG6124423_415::h
OG6102235_69::h	OG6107540_282::t
OG6128919_451::h	OG6163821_562::h
OG6109443_331::h	OG6136537_490::t
OG6102957_96::t	OG6106474_253::h
OG6107032_269::h	OG6129233_461::h
OG6104535_177::h	OG6109676_334::t
OG6103261_106::t	OG6166633_563::h
OG6108102_305::h	OG6130015_468::h
OG6136537_490::h	OG6142480_522::h
OG6100679_19::t	OG6107742_290::h
OG6101169_37::t	OG6126445_432::h
OG6163211_552::t	OG6163379_553::h
OG6106940_267::h	OG6183989_571::h
OG6100651_16::h	OG6121038_388::t
OG6104021_137::t	OG6104136_147::h
OG6109246_329::h	OG6163440_554::h
OG6104887_192::t	OG6141938_510::h
OG6102836_91::h	OG6116618_369::h
OG6141943_512::h	OG6315947_585::h
OG6101672_55::h	OG6124339_412::h
OG6100923_28::h	OG6117759_372::t
OG6102627_83::h	OG6109176_322::h
OG6112753_353::t	OG6112753_354::h
OG6112259_350::h	OG6150894_529::t
OG6104013_135::h	OG6109207_324::h
OG6103986_130::h	OG6109487_332::h
OG6100220_3::h	OG6104100_146::t
OG6104023_138::h	OG6153341_540::h
OG6101347_40::t	OG6101347_41::h
OG6101169_37::h	OG6150846_527::h
OG6100528_12::h	OG6124330_410::h
OG6111120_345::h	OG6119485_381::t
OG6105349_210::h	OG6162974_545::h
OG6105380_215::h	OG6124338_411::t
OG6103747_121::t	OG6107420_279::h
OG6108140_306::h	OG6109711_335::t
OG6105431_217::h	OG6126475_435::t
OG6129238_462::h	OG6183365_566::t
OG6103358_109::h	OG6108589_316::t
OG6104609_181::h	OG6128920_452::t
OG6104250_160::t	OG6124301_408::h
OG6117865_377::h	OG6120926_384::h
OG6103377_111::h	OG6107244_274::t
OG6126624_445::h	OG6142381_520::h
OG6105064_198::h	OG6136523_488::t
OG6102999_98::h	OG6105557_224::h
OG6102134_68::h	OG6102942_95::t
OG6111046_344::h	OG6132709_481::t
OG6109676_334::h	OG6136744_498::h
OG6103986_130::t	OG6103986_131::h
OG6100782_21::t	OG6103877_125::h
OG6104460_171::t	OG6115555_365::h
OG6126618_444::h	OG6183607_568::h
OG6104788_188::h	OG6109275_330::h
OG6102621_81::t	OG6136417_486::h
OG6162913_543::t	OG6163783_560::h
OG6107758_291::h	OG6151102_533::t
OG6106742_263::t	OG6107716_286::h
OG6101432_46::h	OG6104137_148::t
