# Species	Genes	Alg.-Conn.	AnophelesalbimanusSTECLA.faa	AnophelesaquasalisidAnoAquaMGQ19.faa	AnophelesatroparvusEBRO.faa	AnophelescruziiidAnoCruzASRS3206.faa	AnophelesfunestusFUMOZ.faa	AnophelesgambiaePEST.faa	AnophelesmouchetiidAnoMoucSNF2007.faa
7	42	0.109	AnophelesalbimanusSTECLA|AALB015470,AnophelesalbimanusSTECLA|AALB015449,AnophelesalbimanusSTECLA|AALB015457,AnophelesalbimanusSTECLA|AALB015483,AnophelesalbimanusSTECLA|AALB015469,AnophelesalbimanusSTECLA|AALB015481,AnophelesalbimanusSTECLA|AALB015471	AnophelesaquasalisidAnoAquaMGQ19|AAQUA012505,AnophelesaquasalisidAnoAquaMGQ19|AAQUA011663,AnophelesaquasalisidAnoAquaMGQ19|AAQUA004653,AnophelesaquasalisidAnoAquaMGQ19|AAQUA002591,AnophelesaquasalisidAnoAquaMGQ19|AAQUA000473	AnophelesatroparvusEBRO|AATE009017,AnophelesatroparvusEBRO|AATE005319,AnophelesatroparvusEBRO|AATE010151,AnophelesatroparvusEBRO|AATE021701,AnophelesatroparvusEBRO|AATE004853	AnophelescruziiidAnoCruzASRS3206|AcruBR1000001561,AnophelescruziiidAnoCruzASRS3206|AcruBR1000002438,AnophelescruziiidAnoCruzASRS3206|AcruBR1000000198,AnophelescruziiidAnoCruzASRS3206|AcruBR1000005968,AnophelescruziiidAnoCruzASRS3206|AcruBR1000000499	AnophelesfunestusFUMOZ|AFUN020127,AnophelesfunestusFUMOZ|AFUN002505,AnophelesfunestusFUMOZ|AFUN009616,AnophelesfunestusFUMOZ|AFUN015899,AnophelesfunestusFUMOZ|AFUN006819,AnophelesfunestusFUMOZ|AFUN002506,AnophelesfunestusFUMOZ|AFUN002507	AnophelesgambiaePEST|AGAP011516,AnophelesgambiaePEST|AGAP005095,AnophelesgambiaePEST|AGAP000651,AnophelesgambiaePEST|AGAP011515,AnophelesgambiaePEST|AGAP001676	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1000464,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1009604,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1007744,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1002123,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1010158,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1013983,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1000299,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1001827
7	25	0.262	AnophelesalbimanusSTECLA|AALB010417	AnophelesaquasalisidAnoAquaMGQ19|AAQUA007364,AnophelesaquasalisidAnoAquaMGQ19|AAQUA007426,AnophelesaquasalisidAnoAquaMGQ19|AAQUA007647,AnophelesaquasalisidAnoAquaMGQ19|AAQUA001794,AnophelesaquasalisidAnoAquaMGQ19|AAQUA007681	AnophelesatroparvusEBRO|AATE019562	AnophelescruziiidAnoCruzASRS3206|AcruBR1000010293,AnophelescruziiidAnoCruzASRS3206|AcruBR1000010350	AnophelesfunestusFUMOZ|AFUN007476,AnophelesfunestusFUMOZ|AFUN019009,AnophelesfunestusFUMOZ|AFUN018552,AnophelesfunestusFUMOZ|AFUN018779,AnophelesfunestusFUMOZ|AFUN019134,AnophelesfunestusFUMOZ|AFUN018967,AnophelesfunestusFUMOZ|AFUN019125	AnophelesgambiaePEST|AGAP028016,AnophelesgambiaePEST|AGAP012355,AnophelesgambiaePEST|AGAP028106,AnophelesgambiaePEST|AGAP028008,AnophelesgambiaePEST|AGAP028208,AnophelesgambiaePEST|AGAP028044,AnophelesgambiaePEST|AGAP027991	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1005711,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1002306
7	22	0.21	AnophelesalbimanusSTECLA|AALB016156	AnophelesaquasalisidAnoAquaMGQ19|AAQUA012974,AnophelesaquasalisidAnoAquaMGQ19|AAQUA009420	AnophelesatroparvusEBRO|AATE017431,AnophelesatroparvusEBRO|AATE007961	AnophelescruziiidAnoCruzASRS3206|AcruBR1000006641,AnophelescruziiidAnoCruzASRS3206|AcruBR1000004288,AnophelescruziiidAnoCruzASRS3206|AcruBR1000008695	AnophelesfunestusFUMOZ|AFUN018676,AnophelesfunestusFUMOZ|AFUN019061,AnophelesfunestusFUMOZ|AFUN019152,AnophelesfunestusFUMOZ|AFUN012013,AnophelesfunestusFUMOZ|AFUN016544,AnophelesfunestusFUMOZ|AFUN016546	AnophelesgambiaePEST|AGAP005665,AnophelesgambiaePEST|AGAP005670,AnophelesgambiaePEST|AGAP005671,AnophelesgambiaePEST|AGAP005663	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1003434,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1000245,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1014162,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1014057
7	19	0.1	AnophelesalbimanusSTECLA|AALB001068,AnophelesalbimanusSTECLA|AALB000598	AnophelesaquasalisidAnoAquaMGQ19|AAQUA007768,AnophelesaquasalisidAnoAquaMGQ19|AAQUA003521	AnophelesatroparvusEBRO|AATE020364,AnophelesatroparvusEBRO|AATE009328	AnophelescruziiidAnoCruzASRS3206|AcruBR1000001447	AnophelesfunestusFUMOZ|AFUN008907,AnophelesfunestusFUMOZ|AFUN019480,AnophelesfunestusFUMOZ|AFUN019784,AnophelesfunestusFUMOZ|AFUN019596	AnophelesgambiaePEST|AGAP028113,AnophelesgambiaePEST|AGAP028047,AnophelesgambiaePEST|AGAP028077,AnophelesgambiaePEST|AGAP028089,AnophelesgambiaePEST|AGAP008478,AnophelesgambiaePEST|AGAP028191	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1002714,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1007756
7	18	0.158	AnophelesalbimanusSTECLA|AALB001312,AnophelesalbimanusSTECLA|AALB001881	AnophelesaquasalisidAnoAquaMGQ19|AAQUA009655,AnophelesaquasalisidAnoAquaMGQ19|AAQUA007191	AnophelesatroparvusEBRO|AATE013252	AnophelescruziiidAnoCruzASRS3206|AcruBR1000007952	AnophelesfunestusFUMOZ|AFUN019639,AnophelesfunestusFUMOZ|AFUN016592,AnophelesfunestusFUMOZ|AFUN016450,AnophelesfunestusFUMOZ|AFUN019616,AnophelesfunestusFUMOZ|AFUN016591,AnophelesfunestusFUMOZ|AFUN016590	AnophelesgambiaePEST|AGAP008296,AnophelesgambiaePEST|AGAP008294,AnophelesgambiaePEST|AGAP008295	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1012288,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1007597,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1006042
7	17	0.454	AnophelesalbimanusSTECLA|AALB010554,AnophelesalbimanusSTECLA|AALB017861	AnophelesaquasalisidAnoAquaMGQ19|AAQUA003711,AnophelesaquasalisidAnoAquaMGQ19|AAQUA001195	AnophelesatroparvusEBRO|AATE003900,AnophelesatroparvusEBRO|AATE009611	AnophelescruziiidAnoCruzASRS3206|AcruBR1000005693,AnophelescruziiidAnoCruzASRS3206|AcruBR1000006077,AnophelescruziiidAnoCruzASRS3206|AcruBR1000009143	AnophelesfunestusFUMOZ|AFUN019057,AnophelesfunestusFUMOZ|AFUN010533,AnophelesfunestusFUMOZ|AFUN019733,AnophelesfunestusFUMOZ|AFUN019762	AnophelesgambiaePEST|AGAP001218,AnophelesgambiaePEST|AGAP001219,AnophelesgambiaePEST|AGAP010971	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1005516
7	17	0.114	AnophelesalbimanusSTECLA|AALB016107,AnophelesalbimanusSTECLA|AALB016106	AnophelesaquasalisidAnoAquaMGQ19|AAQUA003731,AnophelesaquasalisidAnoAquaMGQ19|AAQUA003510,AnophelesaquasalisidAnoAquaMGQ19|AAQUA012498	AnophelesatroparvusEBRO|AATE012642	AnophelescruziiidAnoCruzASRS3206|AcruBR1000010127,AnophelescruziiidAnoCruzASRS3206|AcruBR1000000392	AnophelesfunestusFUMOZ|AFUN019577,AnophelesfunestusFUMOZ|AFUN019574,AnophelesfunestusFUMOZ|AFUN019459,AnophelesfunestusFUMOZ|AFUN006630	AnophelesgambiaePEST|AGAP008630,AnophelesgambiaePEST|AGAP028029,AnophelesgambiaePEST|AGAP008629	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1002317,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1008370
7	17	0.11	AnophelesalbimanusSTECLA|AALB000943	AnophelesaquasalisidAnoAquaMGQ19|AAQUA008992	AnophelesatroparvusEBRO|AATE021888,AnophelesatroparvusEBRO|AATE019557	AnophelescruziiidAnoCruzASRS3206|AcruBR1000002634,AnophelescruziiidAnoCruzASRS3206|AcruBR1000000367	AnophelesfunestusFUMOZ|AFUN016538,AnophelesfunestusFUMOZ|AFUN019227,AnophelesfunestusFUMOZ|AFUN020209,AnophelesfunestusFUMOZ|AFUN009688	AnophelesgambiaePEST|AGAP003250,AnophelesgambiaePEST|AGAP003249	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1002771,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1010141,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1007605,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1003505,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1005575
7	17	0.1	AnophelesalbimanusSTECLA|AALB016645	AnophelesaquasalisidAnoAquaMGQ19|AAQUA005034,AnophelesaquasalisidAnoAquaMGQ19|AAQUA005685	AnophelesatroparvusEBRO|AATE010840,AnophelesatroparvusEBRO|AATE007218,AnophelesatroparvusEBRO|AATE015827	AnophelescruziiidAnoCruzASRS3206|AcruBR1000000767,AnophelescruziiidAnoCruzASRS3206|AcruBR1000005789,AnophelescruziiidAnoCruzASRS3206|AcruBR1000004203	AnophelesfunestusFUMOZ|AFUN021869,AnophelesfunestusFUMOZ|AFUN021868	AnophelesgambiaePEST|AGAP002767,AnophelesgambiaePEST|AGAP002766	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1003319,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1005126,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1005745,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1010341
7	16	0.125	AnophelesalbimanusSTECLA|AALB015735,AnophelesalbimanusSTECLA|AALB015572,AnophelesalbimanusSTECLA|AALB015737,AnophelesalbimanusSTECLA|AALB015576	AnophelesaquasalisidAnoAquaMGQ19|AAQUA004234,AnophelesaquasalisidAnoAquaMGQ19|AAQUA000411	AnophelesatroparvusEBRO|AATE021704,AnophelesatroparvusEBRO|AATE020700	AnophelescruziiidAnoCruzASRS3206|AcruBR1000009346,AnophelescruziiidAnoCruzASRS3206|AcruBR1000006064	AnophelesfunestusFUMOZ|AFUN015795,AnophelesfunestusFUMOZ|AFUN015962	AnophelesgambiaePEST|AGAP008206,AnophelesgambiaePEST|AGAP008213	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1000682,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1006472
